timestamp,level,event,symbol,score,shares,entry,stop
2026-03-14 02:33:09,INFO,SYSTEM_START,,,,,
2026-03-14 02:33:20,SIGNAL,DETECTED,CSCO,0.151,,,
2026-03-14 02:33:31,TRADE,EXECUTING,CSCO,0.151,6,,
2026-03-14 02:33:31,INFO,SYSTEM_END,,,,,
2026-03-14 02:35:20,INFO,SYSTEM_START,,,,,
2026-03-14 02:35:31,SIGNAL,DETECTED,CSCO,0.151,,,
2026-03-14 02:35:42,TRADE,EXECUTING,CSCO,0.151,6,,
2026-03-14 02:35:42,INFO,SYSTEM_END,,,,,
2026-03-14 03:54:43,INFO,SYSTEM_START,,,,,
2026-03-14 03:54:55,SIGNAL,DETECTED,CSCO,0.151,,,
2026-03-14 03:55:06,TRADE,EXECUTING,CSCO,0.151,6,,
2026-03-14 03:55:06,STATUS,HEALTH,"⚙️ LIBERTAD_2045

Modo: SIM
Posiciones abiertas: 1
Señales detectadas: 1
Trades ejecutados: 0

Estado: OK",,,,
2026-03-14 03:55:06,INFO,SYSTEM_END,,,,,
2026-03-14 03:58:21,INFO,SYSTEM_START,,,,,
2026-03-14 03:58:32,SIGNAL,DETECTED,CSCO,0.151,,,
2026-03-14 03:58:43,TRADE,EXECUTING,CSCO,0.151,6,,
2026-03-14 03:58:43,STATUS,HEALTH,"⚙️ LIBERTAD_2045

Modo: SIM
Posiciones abiertas: 1
Señales detectadas: 1
Trades ejecutados: 0

Estado: OK",,,,
2026-03-14 03:58:43,INFO,SYSTEM_END,,,,,
2026-03-14 04:03:47,INFO,SYSTEM_START,,,,,
2026-03-14 04:03:58,SIGNAL,DETECTED,CSCO,0.151,,,
2026-03-14 04:04:09,TRADE,EXECUTING,CSCO,0.151,6,,
2026-03-14 04:04:09,STATUS,HEALTH,"⚙️ LIBERTAD_2045

Modo: SIM
Posiciones abiertas: 1
Señales detectadas: 1
Trades ejecutados: 0

Estado: OK",,,,
2026-03-14 04:04:12,INFO,SYSTEM_END,,,,,
2026-03-14 17:27:25,INFO,SYSTEM_START,,,,,
2026-03-14 17:30:19,INFO,SYSTEM_START,,,,,
2026-03-14 17:33:44,INFO,SYSTEM_START,,,,,
2026-03-14 17:33:57,SIGNAL,DETECTED,CSCO,0.151,,,
2026-03-14 17:34:11,TRADE,EXECUTING,CSCO,0.151,6,,
2026-03-14 17:34:11,STATUS,HEALTH,,,,,
2026-03-14 17:34:11,INFO,SYSTEM_END,,,,,
2026-03-14 17:37:44,INFO,SYSTEM_START,,,,,
2026-03-14 17:37:53,SIGNAL,DETECTED,CSCO,0.151,,,
2026-03-14 17:38:01,TRADE,EXECUTING,CSCO,0.151,6,,
2026-03-14 17:38:01,STATUS,HEALTH,,,,,
2026-03-14 17:38:01,INFO,SYSTEM_END,,,,,
2026-03-14 18:56:34,INFO,SYSTEM_START,,,,,
2026-03-14 18:56:34,WARN,Risk Guardian blocked trading,,,,,
